policy,policy_index,selection_label,welfare_lens,run_name,seed,scenario,scenario_index,climate_ensemble_index,years_above_1p5C,years_above_2C,ever_above_1p5C,ever_above_2C,max_global_temperature,temperature_2100
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_102,5,102,284.0,284.0,True,True,11.783697285021999,11.220815048854007
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_123,6,123,284.0,284.0,True,True,11.783839025610213,11.220443976811941
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_143,7,143,284.0,284.0,True,True,11.784936567716217,11.221175654244071
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_164,8,164,284.0,284.0,True,True,11.786643698416219,11.222610273880182
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_184,9,184,284.0,284.0,True,True,11.788738855074119,11.224492982434857
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_204,10,204,284.0,284.0,True,True,11.791079198277005,11.226659877175793
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_225,11,225,284.0,284.0,True,True,11.793572191423705,11.229004947730376
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_245,12,245,284.0,284.0,True,True,11.796157737787237,11.231459400132723
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_266,13,266,284.0,284.0,True,True,11.798796773658122,11.23397852701457
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_286,14,286,284.0,284.0,True,True,11.801463887940306,11.23653325161552
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_306,15,306,284.0,284.0,True,True,11.804142577982361,11.2391046764399
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_327,16,327,284.0,284.0,True,True,11.80682215319281,11.241680546089931
P1,1,B_best_prioritarian_threshold,PRIORITARIAN,PRIORITARIAN_50000_2345678,2345678,FAIR_347,17,347,284.0,284.0,True,True,11.809495716978418,11.244252940175334
