delta,eta,rho,ecr_plateau,scenario,policy,model
1.5,0.8333333333333334,0.010666666666666668,0.0,477,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.010666666666666668,0.0,478,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,479,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.02033333333333333,0.0,480,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.001,0.0,481,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.5,0.001,0.0,482,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.001,0.0,483,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.001,0.0,484,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.001,0.0,485,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.001,0.0,486,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.02033333333333333,0.0,487,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.03,0.0,488,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.03,0.0,489,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.010666666666666668,0.0,490,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,491,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.010666666666666668,0.0,492,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.010666666666666668,0.0,493,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.010666666666666668,0.0,494,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.03,0.0,495,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.001,0.0,496,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.001,0.0,497,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.02033333333333333,0.0,498,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.02033333333333333,0.0,499,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.001,0.4,700,moderate_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.001,0.4,701,moderate_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.02033333333333333,0.4,702,moderate_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.02033333333333333,0.4,703,moderate_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.03,0.4,704,moderate_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.03,0.4,705,moderate_abatement,JUSTICE_A2_morris_traceable
1.5,0.5,0.03,0.4,706,moderate_abatement,JUSTICE_A2_morris_traceable
