ssp_scenario,ecs_percentile,eta,delta,ecr_plateau,scenario,policy,model
2,56.212228548795885,1.176844086149543,1.4215793953101072,0.2,169,low_abatement,JUSTICE_A3_1p5_extension
7,2.1918426338365524,2.468723278530951,1.8167923352407083,0.2,170,low_abatement,JUSTICE_A3_1p5_extension
0,52.44841966527005,0.5339323899615395,1.2627326283531006,0.2,171,low_abatement,JUSTICE_A3_1p5_extension
0,61.815423493653846,1.3325661469088905,1.5230801871153732,0.2,172,low_abatement,JUSTICE_A3_1p5_extension
5,20.773246521757063,2.37190141623513,1.9665686296783784,0.2,173,low_abatement,JUSTICE_A3_1p5_extension
1,99.93994560799831,1.0373331139651623,0.9639390205045801,0.2,174,low_abatement,JUSTICE_A3_1p5_extension
3,12.568654546587728,1.4791997147287637,0.6316491524991151,0.2,175,low_abatement,JUSTICE_A3_1p5_extension
6,78.36180688902682,0.5619936719006515,0.6908114891855206,0.2,176,low_abatement,JUSTICE_A3_1p5_extension
2,98.18987791923247,1.8776110361242495,0.6802422128156663,0.2,177,low_abatement,JUSTICE_A3_1p5_extension
1,19.504912112655067,2.168764783165461,1.0663267559870875,0.2,178,low_abatement,JUSTICE_A3_1p5_extension
7,56.91295713856954,1.4243429029041026,1.41405850087556,0.2,179,low_abatement,JUSTICE_A3_1p5_extension
7,37.892752503026614,2.2936542922321537,1.0555454156010486,0.2,180,low_abatement,JUSTICE_A3_1p5_extension
0,47.88405669025129,2.062655479656139,1.0331135810816106,0.2,181,low_abatement,JUSTICE_A3_1p5_extension
2,6.125648152222335,0.9988984456745172,1.9258901044659233,0.2,182,low_abatement,JUSTICE_A3_1p5_extension
1,23.79233168005305,1.5470564779380105,0.8213265995818626,0.2,183,low_abatement,JUSTICE_A3_1p5_extension
7,46.53688554376211,1.7423425805434685,1.9327657957388615,0.2,184,low_abatement,JUSTICE_A3_1p5_extension
6,76.22678138135795,1.7501124529310148,1.053060483345544,0.2,185,low_abatement,JUSTICE_A3_1p5_extension
7,73.00683851173982,0.8555811890835067,1.3737943268896964,0.2,186,low_abatement,JUSTICE_A3_1p5_extension
4,41.742307567357976,1.6577439960803795,0.6050258749217667,0.2,187,low_abatement,JUSTICE_A3_1p5_extension
4,25.126361338534032,2.2551633765607164,0.9107254412716217,0.2,188,low_abatement,JUSTICE_A3_1p5_extension
6,67.67670963817967,1.5947412516511819,1.089649329786893,0.2,189,low_abatement,JUSTICE_A3_1p5_extension
0,27.67752095297109,0.7609827083445693,1.9856139590146347,0.2,190,low_abatement,JUSTICE_A3_1p5_extension
3,10.326479548280188,2.3599294221379186,1.0842957574528556,0.2,191,low_abatement,JUSTICE_A3_1p5_extension
3,59.403944537921625,1.1273438116356607,1.3346506909232576,0.2,192,low_abatement,JUSTICE_A3_1p5_extension
7,49.85966102328706,1.9140085901881485,0.7738353177106463,0.2,193,low_abatement,JUSTICE_A3_1p5_extension
3,81.1443413235813,2.457904530825795,0.5797759494544655,0.2,194,low_abatement,JUSTICE_A3_1p5_extension
4,11.922921556185642,0.503760238237041,1.7622170826296533,0.2,195,low_abatement,JUSTICE_A3_1p5_extension
3,35.54078296246827,0.5263150333464349,0.5575107615266114,0.2,196,low_abatement,JUSTICE_A3_1p5_extension
0,39.221356382284114,1.676323674605755,0.833948938608881,0.2,197,low_abatement,JUSTICE_A3_1p5_extension
5,66.85632215615632,0.6756388595036577,1.5277295180998456,0.2,198,low_abatement,JUSTICE_A3_1p5_extension
5,63.52978410757111,2.1143883505513825,1.4253622793905207,0.2,199,low_abatement,JUSTICE_A3_1p5_extension
1,4.045300707906284,1.6215014047831748,1.9501509921403573,0.5,0,medium_abatement,JUSTICE_A3_1p5_extension
2,90.01620439189695,1.4322656580028088,1.9985879770779578,0.5,1,medium_abatement,JUSTICE_A3_1p5_extension
0,91.41064107043032,1.0201217944480163,0.9143378005865294,0.5,2,medium_abatement,JUSTICE_A3_1p5_extension
4,71.86334293989805,0.8358692844551094,0.6159419520609826,0.5,3,medium_abatement,JUSTICE_A3_1p5_extension
6,8.240673140938855,1.9919834614086398,0.9770654110878931,0.5,4,medium_abatement,JUSTICE_A3_1p5_extension
1,15.899005795163474,1.6300154062806596,1.8652123351540806,0.5,5,medium_abatement,JUSTICE_A3_1p5_extension
4,32.78349494126939,1.6911712156618932,0.8952786012937709,0.5,6,medium_abatement,JUSTICE_A3_1p5_extension
7,76.8503176736713,2.0773794037343722,1.7596087058277365,0.5,7,medium_abatement,JUSTICE_A3_1p5_extension
4,83.37199194417023,0.9654066727136872,1.9051051549100881,0.5,8,medium_abatement,JUSTICE_A3_1p5_extension
0,74.82622134131387,1.35204365051769,1.4412537156921568,0.5,9,medium_abatement,JUSTICE_A3_1p5_extension
