years_above_1p5C,years_above_2C,peak_temp,welfare_loss_damage,policy,success_1p5C_zero_exceedance,success_2C_zero_exceedance
255.0,230.0,4.142858822753126,80574880.16317455,medium_abatement,False,False
268.0,246.0,3.4431217259467526,1377080781.2705965,medium_abatement,False,False
273.0,262.0,7.632938824895049,317.4732508533822,medium_abatement,False,False
246.0,159.0,2.142195629802189,820.487453188264,medium_abatement,False,False
241.0,154.0,2.378614631364329,91.59961322099792,medium_abatement,False,False
255.0,123.0,2.1275066205361415,121482.05830138444,medium_abatement,False,False
257.0,238.0,5.436055904158097,9871.498221684675,medium_abatement,False,False
264.0,209.0,2.513453045372449,2052.476894962203,medium_abatement,False,False
265.0,244.0,3.432415043901864,147.84247104751978,medium_abatement,False,False
273.0,253.0,5.437421244320439,73.34811064604706,medium_abatement,False,False
257.0,221.0,2.4475238956047662,1247.8227963418199,medium_abatement,False,False
255.0,229.0,3.3964449536345036,53129670.69160699,medium_abatement,False,False
266.0,239.0,3.606284133926134,1244.712491793628,medium_abatement,False,False
254.0,227.0,3.188100440335919,824.558371688456,medium_abatement,False,False
271.0,248.0,3.6084259966127044,451.25880207762987,medium_abatement,False,False
266.0,246.0,4.85424053162658,2452.988500056029,medium_abatement,False,False
272.0,251.0,5.182555176794777,3157.578768807706,medium_abatement,False,False
271.0,248.0,2.7221518968627,61654728.94663659,medium_abatement,False,False
266.0,252.0,5.852295535034301,1255142.6128285518,medium_abatement,False,False
267.0,241.0,3.443723613452403,340595.4630854524,medium_abatement,False,False
274.0,208.0,2.1075722324821076,334235.8524673863,medium_abatement,False,False
273.0,255.0,4.735386811946438,518470.9300110908,medium_abatement,False,False
269.0,251.0,4.150429356195843,495379.45283734205,medium_abatement,False,False
270.0,257.0,5.890973403367479,257.6626202241825,medium_abatement,False,False
269.0,254.0,3.55212878412756,2094.871533460711,medium_abatement,False,False
269.0,252.0,5.325313869836348,1652102.749937062,medium_abatement,False,False
267.0,246.0,2.9286789026807756,169950211.5284375,medium_abatement,False,False
264.0,249.0,5.192744466278914,277906525.06081855,medium_abatement,False,False
258.0,228.0,3.1048450991693883,2039461.62503308,medium_abatement,False,False
269.0,147.0,2.1824802773354435,60.46822918676403,medium_abatement,False,False
273.0,253.0,4.031022732460969,247.50852005496816,medium_abatement,False,False
269.0,256.0,6.160750508402051,6110.009204133725,medium_abatement,False,False
268.0,256.0,7.7119598529113125,119.57430950385901,medium_abatement,False,False
272.0,245.0,3.76479243632727,786.7410940296818,medium_abatement,False,False
272.0,257.0,8.374855102033123,260327.0531098708,medium_abatement,False,False
270.0,259.0,8.409339748714526,571029.7798470585,medium_abatement,False,False
262.0,218.0,3.053712894699101,743.5997321588886,medium_abatement,False,False
263.0,229.0,2.7612175835603017,4548806.306223421,medium_abatement,False,False
277.0,258.0,4.380990083333888,767.2666343155815,medium_abatement,False,False
123.0,0.0,1.5381863818233454,4684.446997792993,medium_abatement,False,True
267.0,199.0,2.3143543195112204,2362957.1658997033,medium_abatement,False,False
267.0,249.0,4.7517166533167146,1958.2397081601375,medium_abatement,False,False
274.0,261.0,7.205681795379743,221.13447449884703,medium_abatement,False,False
265.0,246.0,4.923239143553195,4170.4297556737065,medium_abatement,False,False
259.0,243.0,5.178291919737245,21632962.205106486,medium_abatement,False,False
267.0,253.0,6.125500186423422,287.298993641818,medium_abatement,False,False
2.0,0.0,1.5008432307911057,8030.468307459746,medium_abatement,False,True
275.0,261.0,8.325062835560134,508424949.9957447,medium_abatement,False,False
255.0,168.0,2.3557644953622408,54291.119304425614,medium_abatement,False,False
263.0,247.0,4.891667702652422,4148758.700227213,medium_abatement,False,False
264.0,238.0,2.95689727611705,5118.7926215965135,medium_abatement,False,False
267.0,239.0,3.4564517545511446,1039.6980594348474,medium_abatement,False,False
268.0,253.0,8.359669287678592,630003927.6531165,medium_abatement,False,False
261.0,234.0,3.564241494194005,20822.708784472954,medium_abatement,False,False
264.0,241.0,4.243580743234042,1200.890836522688,medium_abatement,False,False
267.0,247.0,3.7919371784906764,204323.07622168082,medium_abatement,False,False
271.0,254.0,6.4453923028256295,50990245.67864623,medium_abatement,False,False
263.0,247.0,5.054075678137512,27454720.789421245,medium_abatement,False,False
264.0,231.0,3.225883328324919,7720653.581668637,medium_abatement,False,False
