welfare_lens,reference_set_row,fraction_above_threshold,welfare_loss_damage,welfare_loss_abatement
PRIORITARIAN,265,0.5,31722.53656486084,123459.94486586972
PRIORITARIAN,266,1.0,12091.9563466018,163407.57012883734
PRIORITARIAN,267,0.3,35054.327417811364,76754.63963789139
PRIORITARIAN,268,0.4,32180.370380783024,122421.02265246192
PRIORITARIAN,269,1.0,12140.540187552166,163236.3597129105
PRIORITARIAN,270,0.6,30115.038149122152,123641.94233271344
PRIORITARIAN,271,1.0,20843.5622058806,149650.35358259745
PRIORITARIAN,272,0.3,35082.45618688769,69339.66363957152
PRIORITARIAN,273,1.0,12401.386098597215,163032.2099843362
PRIORITARIAN,274,0.4,31682.56432966116,123370.49082096016
PRIORITARIAN,275,0.5,34858.87741577952,80401.36649322082
PRIORITARIAN,276,0.3,35695.85466432865,13329.66235931827
PRIORITARIAN,277,0.4,34851.92102581329,80393.81932277296
PRIORITARIAN,278,0.4,35044.23503131325,28139.477648934608
PRIORITARIAN,279,0.5,31941.18229558911,104571.5306237862
PRIORITARIAN,280,0.4,32157.980609689635,122588.57182362392
PRIORITARIAN,281,0.5,30308.30969490228,122630.14842656508
PRIORITARIAN,282,0.6,34527.77158856593,84394.29660553334
PRIORITARIAN,283,0.4,32148.38454316293,122853.48036763676
PRIORITARIAN,284,0.4,31757.24354131045,123370.55880752049
PRIORITARIAN,285,0.4,34732.96193787131,31112.341020981577
PRIORITARIAN,286,0.7,22572.364238323808,137829.3123951053
PRIORITARIAN,287,0.4,34977.78651948866,29892.500199735383
PRIORITARIAN,288,1.0,11554.42737446173,164246.4253983047
PRIORITARIAN,289,0.7,22323.352344081868,141637.19467632772
PRIORITARIAN,290,0.4,31704.931914562985,118539.52487858408
PRIORITARIAN,291,0.5,29953.22774885581,122740.51630309084
PRIORITARIAN,292,0.3,35586.60947482704,13434.251246592565
PRIORITARIAN,293,0.2,36391.99474168516,13440.084426368432
PRIORITARIAN,294,0.2,36460.6378457336,13218.51422972049
PRIORITARIAN,295,0.2,36453.45095573544,13255.74338190312
PRIORITARIAN,296,0.2,36425.269142267854,13262.031008985969
PRIORITARIAN,297,0.4,35755.38251963328,15885.983254731653
PRIORITARIAN,298,0.3,35930.10054564608,15340.024105263612
PRIORITARIAN,299,0.3,34832.74458204718,85320.68790216243
PRIORITARIAN,300,0.2,36281.68357296109,13761.178054862065
PRIORITARIAN,301,0.3,35941.34878016087,14328.957857038991
PRIORITARIAN,302,0.5,34518.40626918158,89623.9333239448
PRIORITARIAN,303,0.3,35086.19729613165,86232.32098790126
PRIORITARIAN,304,0.2,36305.220311373385,13828.949399785342
PRIORITARIAN,305,0.2,35925.25297156451,14261.708375556604
PRIORITARIAN,306,0.2,36006.082594362386,14267.232888868515
PRIORITARIAN,307,0.4,32158.39883548769,122719.8841700363
PRIORITARIAN,308,0.2,36103.83861019705,14147.879325331269
PRIORITARIAN,309,0.2,35912.32271657398,13833.936586770487
PRIORITARIAN,310,0.3,35023.46894381255,85136.36350407854
PRIORITARIAN,311,0.5,34347.76058692504,85354.62231000478
PRIORITARIAN,312,0.4,35889.097354231126,15468.090283172623
PRIORITARIAN,313,0.4,35890.81355477229,14763.067889797148
PRIORITARIAN,314,0.2,36411.85881050114,13410.427394139342
